epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,61.7005,2.05399,4.58956,1.04267,0.00062,0.0463,0.00032,0.00023,1.93486,4.5084,1.05599,0.00048,0.00016,0.00048,0.00016,0.00048,0.00016,0.00048,0.00016
2,118.635,1.93582,4.5603,0.99419,0.00173,0.12963,0.00101,0.00057,1.84399,4.39339,1.01948,0.00098634,0.00032878,0.00098634,0.00032878,0.00098634,0.00032878,0.00098634,0.00032878
3,176.527,1.83423,4.3297,0.9734,0.00346,0.25926,0.0025,0.00136,1.81713,4.24019,0.97993,0.00145704,0.00048568,0.00145704,0.00048568,0.00145704,0.00048568,0.00145704,0.00048568
4,233.291,1.77234,3.84797,0.97729,0.00395,0.2963,0.00349,0.00203,1.76733,4.19839,0.97353,0.0018921,0.0006307,0.0018921,0.0006307,0.0018921,0.0006307,0.0018921,0.0006307
5,285.68,1.78115,3.45359,0.997,0.0063,0.47222,0.00849,0.00413,1.69626,3.91785,0.93042,0.00229152,0.00076384,0.00229152,0.00076384,0.00229152,0.00076384,0.00229152,0.00076384
6,340.459,1.80599,2.76243,0.97011,0.00728,0.5463,0.03029,0.02037,1.61527,3.68323,0.9058,0.0026553,0.0008851,0.0026553,0.0008851,0.0026553,0.0008851,0.0026553,0.0008851
7,399.298,1.73671,2.49208,0.97219,0.00728,0.5463,0.12144,0.08328,1.60615,3.51534,0.91029,0.00298344,0.00099448,0.00298344,0.00099448,0.00298344,0.00099448,0.00298344,0.00099448
8,459.93,1.65897,2.21514,0.91786,0.00877,0.65741,0.32431,0.19392,1.63923,3.30727,0.90015,0.00327594,0.00109198,0.00327594,0.00109198,0.00327594,0.00109198,0.00327594,0.00109198
9,530.636,1.63139,2.06405,0.92162,1,0.38363,0.54501,0.28596,1.7004,3.09494,0.91726,0.0035328,0.0011776,0.0035328,0.0011776,0.0035328,0.0011776,0.0035328,0.0011776
10,599.906,1.54185,1.88953,0.89628,1,0.16381,0.6046,0.32904,1.6475,2.87108,0.90791,0.00375402,0.00125134,0.00375402,0.00125134,0.00375402,0.00125134,0.00375402,0.00125134
11,668.272,1.50653,1.84878,0.89366,1,0.21894,0.62433,0.35107,1.62319,2.72791,0.9176,0.0039396,0.0013132,0.0039396,0.0013132,0.0039396,0.0013132,0.0039396,0.0013132
12,735.944,1.50996,1.8242,0.88344,0.94343,0.46327,0.65292,0.34587,1.67691,2.46403,0.92841,0.003822,0.001274,0.003822,0.001274,0.003822,0.001274,0.003822,0.001274
13,793.516,1.52334,1.82985,0.88616,0.96003,0.59259,0.70869,0.37964,1.64411,2.20327,0.91829,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
